Company Name,FOUNDED,BUSINESS MODEL,EMPLOYEES,FUNDING STAGE,RAISED,PRODUCT STAGE,Funding stage,Total raised,Total rounds,Investors,Current Round,Funding in Current Round,TAGS
Cognitive ID,                              8/2016,"B2B, B2B2C",1-10,Bootstrapped,,Released,,,,,,,"['cyber-security' 'uba' 'identity-verification' 'iam' 'mobile-security'
 'behavior-analytics' 'artificial-intelligence' 'biometrics'
 'deep-learning' 'machine-learning' 'ecommerce' 'authentication' 'fintech'
 'anomaly-detection' 'behavioral-biometrics']"
Cipherra Development,                              5/2014,B2B,1-10,Bootstrapped,,Released,,,,,,,"['cloud-security' 'encryption' 'cyber-security' 'tokenization'
 'data-protection' 'compliance']"
Rezilion,                              7/2018,B2B,11-50,ROUND A,                 $38M,Released,A,38M,2,5,A Round,$30M,"['iaas' 'cyber-security' 'enterprise-security' 'cloud-security'
 'vulnerability-management' 'network-security']"
Unbound Tech,                              7/2013,B2B,51-200,ROUND B,                 $36.02M,Released,B,36.02M,5,5,B Round,$20M,"['cyber-security' 'enterprise-solutions' 'enterprise-security'
 'security-gateway' 'cloud-based' 'compliance' 'authentication' 'pki'
 'database-security' 'cloud-security' 'mobile-security' 'encryption'
 'data-protection' 'iam' 'network-security' 'iot' 'cryptography']"
VirusBay,                              1/2018,B2B,1-10,Bootstrapped,                 $12.57K,Released,Bootstrapped,12.57K,1,1,Crowdfunding,$12.57K,"['threat-detection' 'natural-language-processing' 'privacy-protection'
 'incident-response' 'malware' 'forensics' 'apt' 'soc'
 'cyber-threat-analysis' 'collaboration' 'security-operations'
 'data-science' 'artificial-intelligence' 'threat-intelligence'
 'machine-learning' 'cyber-security']"
Dcoya,                              8/2015,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['phishing' 'social-engineering' 'compliance' 'training'
 'critical-infastructure' 'enterprise-security' 'penetration-tests'
 'vulnerability-assessment' 'spear-phishing' 'cyber-security' 'ransomware'
 'endpoint-security' 'edtech']"
GuardiCore,                              8/2013,B2B,201-500,ROUND C+,                 $106M,Released,C+,106M,4,10,C Round,$60M,"['apt' 'cloud-security' 'virtualization' 'threat-detection'
 'cyber-security' 'data-center-security' 'data-visualization'
 'network-security' 'enterprise-solutions' 'micro-segmentation'
 'compliance' 'sdn' 'deception' 'incident-response' 'enterprise-security'
 'threat-intelligence' 'dlp' 'data-protection']"
Avanan,                              7/2014,B2B,51-200,ROUND B,                 $41.4M,Released,B,41.4M,3,4,B Round,$25M,"['apt' 'saas' 'ransomware' 'encryption' 'cyber-security' 'data-protection'
 'cloud-security' 'data-governance' 'enterprise-security' 'casb'
 'compliance' 'access-control' 'dlp' 'siem' 'spear-phishing' 'malware']"
Intelici,                              1/2019,B2B,1-10,Seed,,R&D,Seed,0,1,2,Seed,,"['cyber-intelligence' 'malware' 'cloud-security' 'machine-learning'
 'mobile-and-telecom-technologies' 'communications' 'big-data-analytics'
 'cyber-security' 'network-security' 'iot' 'artificial-intelligence']"
CyberInt,                              2/2010,B2B,51-200,ROUND B,                 $28M,Released,B,28M,2,5,B Round,$18M,"['cyber-intelligence' 'intelligence' 'anti-fraud'
 'counselling-and-integration' 'forensics' 'education' 'brand-protection'
 'incident-response' 'deep-web' 'training' 'apt' 'risk-management'
 'threat-intelligence' 'osint' 'siem' 'behavior-analytics'
 'network-security' 'cyber-security' 'zero-day' 'identity-verification']"
AWARE,                              9/2020,B2C,1-10,Bootstrapped,,Customer development,,,,,,,"['personal-safety' 'artificial-intelligence' 'behavior-analytics'
 'cyber-security' 'risk-management' 'mobile-security']"
Cyber-Dome,                              6/2012,B2C,1-10,Revenue Financed,,Released,,,,,,,"['ransomware' 'education' 'threat-intelligence' 'malware' 'training'
 'spear-phishing' 'ids' 'collaboration' 'cyber-security'
 'endpoint-security']"
SafeHouse Technologies,                              4/2017,"B2B, B2G",1-10,Seed,                 $2.96M,Released,Seed,2.96M,2,2,Seed,$2.84M,"['malware' 'threat-detection' 'cyber-security' 'iot-security'
 'mobile-applications' 'cloud-security' 'mobile-security' 'iot']"
Cigloo,                              10/2015,B2B,1-10,Bootstrapped,,Released,,,,,,,"['malware' 'network-security' 'virtualization' 'compliance'
 'website-security' 'endpoint-security' 'isolation' 'enterprise-security'
 'safe-browsing' 'ransomware' 'cyber-security']"
Hola,                              3/2008,"B2B, B2C",201-500,ROUND C+,                 $34M,Released,C+,34M,3,7,C Round,$17M,"['telecommunication' 'firewall' 'saas' 'vpn' 'mobile-applications' 'cdn'
 'cyber-security' 'p2p' 'website-security' 'data-compression']"
Senstar Technologies,                              1/1969,"B2B, B2G",51-200,Public,,Released,,,,,,,"['optronics' 'control-systems' 'homeland-security' 'network-security'
 'perimeter-security' 'video-management' 'scada' 'safety' 'cctv'
 'industry-4.0' 'critical-infastructure' 'cyber-security' 'airports' 'ids'
 'border-security' 'unmanned-aerial-vehicle' 'smart-city' 'sensors'
 'surveillance' 'incident-response']"
Silverfort,                              3/2016,B2B,51-200,ROUND B,                 $44.27M,Released,B,44.27M,4,6,B Round,$30M,"['enterprise-security' 'access-control' 'cyber-security' 'cloud-security'
 'data-protection' 'multi-factor-authentication' 'behavior-analytics'
 'apt' 'cryptography' 'authentication' 'patent-pending' 'network-security'
 'iam' 'insider-threat']"
Meydax,                              1/2013,B2B,1-10,Revenue Financed,,Released,,,,,,,"['data-protection' 'behavior-analytics' 'web-application-firewall'
 'ad-blocking' 'cyber-security' 'ddos' 'anti-fraud' 'cloud'
 'bot-detection' 'dlp' 'adtech' 'website-security' 'cloud-security' 'bots']"
Build.security,                              1/2020,B2B,11-50,Seed,                 $6M,Released,Seed,6M,1,2,Seed,$6M,"['web-development' 'software-applications' 'enterprise-solutions'
 'cyber-security' 'application-security' 'authorization']"
G-STAT,                              12/1998,"B2B, B2B2C",51-200,Established,,Released,,,,,,,"['business-intelligence' 'big-data-analytics' 'enterprise-solutions'
 'risk-management' 'cyber-security' 'data-mining' 'behavior-analytics'
 'predictive-analytics' 'credit-score' 'credit-assessment' 'cloud-based'
 'anti-fraud' 'software-applications' 'fintech' 'machine-learning'
 'artificial-intelligence' 'data-management' 'credit-cards' 'marketing'
 'anti-money-laundering']"
Cybergames,                              11/2018,"B2B, B2C, B2G, B2B2C",1-10,Bootstrapped,,Alpha,,,,,,,"['edtech' 'games' 'software-development' 'community' 'cyber-intelligence'
 'cyber-security' 'simulation' 'entertainment']"
ZenGo,                              6/2018,"B2B, B2C",11-50,ROUND A,                 $24M,Released,A,24M,2,12,A Round,$20M,"['mobile-applications' 'digital-wallet' 'cyber-security' 'blockchain'
 'payments' 'cryptography' 'fintech' 'cryptocurrency']"
Cyrus,                              8/2020,B2C,11-50,Seed,,Released,,,,,,,['data-protection' 'cyber-security' 'credit' 'mobile-security']
Cyberfish,                              1/2017,B2B,11-50,Seed,                 $40K,Released,Seed,40K,3,3,Seed,,"['anti-fraud' 'privacy-protection' 'cyber-security'
 'artificial-intelligence' 'malware' 'mobile-devices' 'phishing'
 'mobile-security' 'spear-phishing' 'email' 'computer-vision'
 'patent-pending' 'microsoft-365' 'saas']"
nsKnox,                              4/2015,B2B,11-50,ROUND A,                 $15M,Released,A,15M,2,4,A Round,$15M,"['fintech' 'cyber-security' 'anti-fraud' 'transactions'
 'exfiltration-prevention' 'data-protection' 'finance' 'payments']"
NeuraLegion,                              10/2017,"B2B, B2G",11-50,Seed,                 $4.7M,Released,Seed,4.7M,1,4,Seed,$4.7M,"['vulnerability-management' 'machine-learning' 'software-applications'
 'enterprise-security' 'penetration-tests' 'application-security'
 'cyber-security' 'application-security-testing' 'artificial-intelligence']"
Zimperium,                              10/2010,"B2B, B2G",51-200,ROUND C+,                 $72M,Released,C+,72M,5,11,E Round,$12M,"['network-security' 'machine-learning' 'application-security' 'sdk'
 'mobile-applications' 'mobile-security' 'cyber-security'
 'artificial-intelligence' 'byod' 'mobile-devices' 'behavior-analytics'
 'zero-day' 'mdm' 'threat-intelligence' 'app-development'
 'vulnerability-assessment' 'endpoint-security']"
Sonarax,                              4/2013,B2B,11-50,Seed,                 $1.2M,Released,Seed,1.2M,1,2,Seed,$1.2M,"['coronavirus' 'sensors' 'fintech' 'mobile-applications' 'connectivity'
 'communications' 'indoor-navigation' 'anti-fraud' 'ultrasound' 'payments'
 'multi-factor-authentication' 'locking-system' 'sdk'
 'software-applications' 'mobile-payments' 'mobile-security'
 'telecommunication' 'm2m' 'signal-processing' 'cyber-security'
 'authentication']"
NextNine,                              3/1998,"B2B, B2G",11-50,ROUND C+,                 $39.5M,Released,C+,39.5M,4,8,C Round,$10M,"['critical-infastructure' 'control-systems' 'industry-4.0' 'ot'
 'cyber-security' 'scada' 'industrial-technologies']"
BrandShield,                              1/2010,B2B,11-50,Seed,                 $1.77M,Released,Seed,1.77M,3,4,Undisclosed Round,$300K,"['software-applications' 'social-media' 'anti-fraud' 'deep-web'
 'management-solutions' 'machine-learning' 'analytics' 'content-analysis'
 'big-data' 'cyber-security' 'monitoring' 'branding' 'brand-protection'
 'cloud-based' 'artificial-intelligence' 'saas']"
SecureTeam,                              1/2009,B2B,1-10,Revenue Financed,,Released,,,,,,,"['drm' 'app-development' 'secure-coding' 'application-security'
 'cyber-security']"
SuperCom,                              7/1988,"B2B, B2G",51-200,Public,                 $7M,Released,Public,7M,1,0,Post-IPO Equity Funding,$7M,"['homeland-security' 'endpoint-security' 'software-applications'
 'biometrics' 'iot' 'security' 'border-security' 'mobile-applications'
 'identity-verification' 'm2m' 'payments' 'rfid' 'cyber-security'
 'cryptography' 'quarantine' 'transportation' 'authentication' 'tracking'
 'mobile-security']"
XAIO,                              3/2019,B2B,1-10,Bootstrapped,,,,,,,,,['iot' 'cyber-security']
Actifile,                              2/2015,"B2B, B2C",1-10,Seed,                 $100K,Released,Seed,100K,1,1,Seed,$100K,"['document-management' 'monitoring' 'encryption' 'compliance' 'cloud'
 'data-protection' 'enterprise-solutions' 'gdpr' 'intellectual-property'
 'data-storage' 'endpoint-security' 'iso' 'cyber-security' 'backup' 'dlp']"
Cyberwrite,                              1/2017,B2B,1-10,Seed,                 $1.65M,Released,Seed,1.65M,2,4,Seed,$1.5M,"['artificial-intelligence' 'risk-management' 'machine-learning' 'fintech'
 'insurtech' 'remote-vendor-security' 'cyber-insurance'
 'management-solutions' 'saas' 'business-intelligence'
 'enterprise-solutions' 'cyber-security' 'software-applications'
 'user-onboarding' 'underwriting' 'grc' 'big-data' 'cloud']"
Awrora,                              10/2020,B2B,1-10,Bootstrapped,,Released,,,,,,,"['enterprise-solutions' 'deep-learning' 'dlp' 'brand-protection'
 'website-security' 'data-protection' 'cyber-security' 'authentication']"
Guardio,                              11/2018,"B2B, B2C",1-10,Bootstrapped,,Released,,,,,,,"['website-security' 'artificial-intelligence' 'deep-learning'
 'safe-browsing' 'machine-learning' 'browser-add-on' 'cyber-security'
 'big-data-analytics' 'phishing' 'cloud-based' 'decision-making'
 'application-security']"
HUB Security,                              1/2017,B2B,11-50,Public,                 $5M,Released,Public,5M,1,2,A Round,$5M,"['blockchain' 'cyber-security' 'fintech' 'network-security'
 'quantum-computing' 'hardware' 'quarantine' 'cloud-security'
 'enterprise-solutions' 'homeland-security']"
Retruster,                              5/2017,B2B,1-10,Seed,                 $250K,Released,Seed,250K,1,0,Seed,$250K,"['behavior-analytics' 'machine-learning' 'cyber-security'
 'identity-verification' 'messaging' 'spear-phishing' 'iot'
 'network-security' 'authentication' 'mobile-security' 'data-protection'
 'messaging-security' 'anti-fraud' 'safety' 'monitoring'
 'enterprise-security' 'artificial-intelligence' 'email']"
SentinelOne,                              1/2013,B2B,500+,Public,                 $696.5M,Released,Public,696.5M,8,19,F Round,$267M,"['orchestration' 'cyber-security' 'social-engineering'
 'threat-intelligence' 'remote' 'endpoint-security' 'quarantine'
 'patent-pending' 'behavior-analytics' 'incident-response' 'malware'
 'forensics' 'cloud-security' 'zero-day' 'security-operations'
 'vulnerability-management' 'iot' 'artificial-intelligence' 'edr' 'apt']"
Flowhow,                              5/2020,B2B,1-10,Seed,,R&D,Seed,0,1,1,Undisclosed Round,,"['remote-monitoring' 'clinical-workflow' 'machine-learning' 'monitoring'
 'decision-making' 'endpoint-security' 'imaging' 'artificial-intelligence'
 'real-time' 'cyber-security' 'digital-healthcare']"
Paygilant,                              7/2015,B2B,11-50,ROUND A,                 $2.129M,Released,A,2.129M,3,3,Grant,,"['digital-wallet' 'image-recognition' 'behavior-analytics' 'transactions'
 'credit-cards' 'ecommerce' 'detection' 'anti-fraud' 'fintech'
 'mobile-devices' 'cyber-security']"
QSM Programming,                              1/1999,B2B,11-50,Revenue Financed,,Released,,,,,,,"['multi-factor-authentication' 'anti-fraud' 'cyber-security' 'encryption'
 'point-of-sale' 'transactions' 'authentication' 'fintech' 'payments'
 'mobile-payments' 'credit-cards' 'software-applications']"
Cobwebs Technology,                              7/2015,"B2B, B2G",51-200,ROUND A,                 $12M,Released,A,12M,2,3,A Round,$10M,"['real-time-location-systems' 'monitoring' 'webint' 'security'
 'coronavirus' 'threat-intelligence' 'artificial-intelligence'
 'natural-language-processing' 'big-data-analytics' 'intelligence'
 'critical-infastructure' 'homeland-security' 'website-security'
 'border-security' 'public-safety' 'cyber-security']"
Next-Dim,                              9/2019,B2B,11-50,Bootstrapped,,Released,,,,,,,"['kyc' 'soc' 'fintech' 'social-networks' 'aml' 'cryptocurrency' 'saas'
 'payments' 'anti-fraud' 'cyber-security' 'graph-technology']"
Salvador Technologies,                              1/2020,B2B,1-10,Seed,,Released,,,,,,,"['it' 'network-security' 'cyber-security' 'security' 'data-protection'
 'data-recovery' 'disaster-recovery' 'incident-response'
 'endpoint-security']"
Quttera,                              12/2005,B2B,1-10,Revenue Financed,,Released,,,,,,,"['zero-day' 'anomaly-detection' 'malware' 'web-application-firewall'
 'wordpress-plugin' 'website-security' 'cyber-security' 'saas'
 'risk-management']"
Cymulate,                              6/2016,B2B,51-200,ROUND C+,                 $71M,Released,C+,71M,4,6,C Round,$45M,"['malware' 'soc' 'vulnerability-assessment' 'endpoint-security'
 'cyber-security' 'enterprise-security' 'penetration-tests' 'apt'
 'cyber-intelligence' 'quarantine' 'saas' 'firewall' 'breach-simulation'
 'website-security' 'vulnerability-management' 'risk-assesments'
 'security']"
SecuriThings,                              2/2016,"B2B, B2G",11-50,ROUND A,                 $18M,Released,A,18M,2,2,A Round,$14M,"['iot' 'threat-intelligence' 'cloud-based' 'behavior-analytics'
 'automation' 'endpoint-security' 'smart-city' 'enterprise-solutions'
 'industry-4.0' 'iot-security' 'cyber-security' 'artificial-intelligence'
 'iot-platform' 'predictive-maintenance']"
Dustico,                              1/2021,B2B,1-10,Bootstrapped,,Beta,,,,,,,['open-source' 'vulnerability-management' 'cyber-security']
Karamba Security,                              3/2016,B2B,11-50,ROUND B,                 $27M,Released,B,27M,4,9,Debt Financing,$10M,"['threat-intelligence' 'connected-vehicles' 'autonomous-vehicles'
 'smart-mobility' 'zero-day' 'flow-control' 'software-applications'
 'cyber-security' 'iot' 'industry-4.0' 'hardening']"
CommuniTake Technologies,                              2/2009,"B2B, B2G",11-50,ROUND B,                 $5.05M,Released,B,5.05M,3,4,B Round,$3M,"['remote-monitoring' 'customer-support' 'mobile-security' 'iot'
 'cyber-security' 'mobile-applications' 'business-management'
 'collaboration' 'm2m' 'remote-control' 'enterprise-mobility'
 'enterprise-networking' 'mdm' 'self-service' 'cross-platform'
 'mobile-devices' 'byod']"
Armis,                              12/2015,B2B,201-500,ROUND C+,                 $237M,Released,C+,237M,4,10,Private Equity,$125M,"['network-visibility' 'mobile-security' 'ransomware' 'cyber-security'
 'smart-city' 'industry-4.0' 'connected-devices' 'iot'
 'enterprise-solutions' 'threat-detection' 'incident-response' 'unicorn'
 'wireless-communication' 'endpoint-security' 'ddos' 'byod' 'mdm'
 'orchestration']"
RAD,                              1/1981,"B2B, B2G",500+,Established,,Released,,,,,,,"['iot' 'ethernet' 'telecommunication-equipment' '5g-networks'
 'telecommunication' 'sdn' 'critical-infastructure' 'virtualization'
 'smart-city' 'cyber-security']"
SCADAfence,                              1/2014,B2B,51-200,ROUND B,                 $22M,Released,B,22M,2,8,B Round,$12M,"['scada' 'security' 'energytech' 'industry-4.0' 'vulnerability-assessment'
 'ot-cyber' 'control-systems' 'anomaly-detection' 'ot' 'supply-chain'
 'homeland-security' 'cyber-security' 'critical-infastructure'
 'network-security' 'grid-monitoring']"
Cyberm8,                              1/2020,B2B,1-10,Seed,,R&D,,,,,,,"['enterprise-solutions' 'automation' 'web-platform' 'network-security'
 'cyber-security' 'it-management']"
Perimeter 81,                              1/2013,B2B,51-200,ROUND B,                 $64.5M,Released,B,64.5M,5,5,B Round,$40M,"['artificial-intelligence' 'mobile-security' 'quarantine'
 'mobile-applications' 'cyber-security' 'privacy-protection'
 'mobile-networks' 'safe-browsing' 'remote' 'vpn' 'encryption'
 'virtualization' 'cloud-security' 'enterprise-solutions'
 'network-security' 'compliance' 'data-protection' 'security']"
Cyberpion,                              2/2016,B2B,11-50,Seed,                 $8.25M,Released,Seed,8.25M,1,2,Seed,$8.25M,"['penetration-tests' 'cloud-security' 'website-security'
 'network-security' 'supply-chain' 'cyber-security' 'risk-assesments'
 'vulnerability-scanning' 'threat-intelligence']"
Reblaze,                              9/2011,"B2B, B2G",11-50,ROUND A,,Released,A,0,2,3,A Round,,"['ddos' 'web-traffic' 'cloud-based' 'cyber-security' 'bot-detection'
 'website-security' 'access-control' 'bots' 'web-application-firewall'
 'cloud-security' 'cdn' 'ips']"
SecurityDAM,                              5/2012,B2B,11-50,Revenue Financed,,Released,,,,,,,"['cyber-security' 'vulnerability-assessment' 'cloud-security'
 'software-applications' 'ddos' 'network-security' 'website-security'
 'soc' 'ips' 'cloud']"
BioCatch,                              11/2010,B2B,51-200,ROUND C+,                 $206.6M,Released,C+,206.6M,6,15,C Round,$20M,"['biometrics' 'cyber-security' 'machine-learning' 'identity-verification'
 'anomaly-detection' 'iam' 'transactions' 'authentication' 'anti-fraud'
 'behavioral-biometrics' 'mobile-security' 'uba' 'fintech'
 'behavior-analytics' 'ecommerce' 'artificial-intelligence' 'payments']"
ITsMine,                              1/2017,B2B,11-50,Seed,                 $13.87K,Released,Seed,13.87K,2,2,Seed,,"['insider-threat' 'cloud-security' 'quarantine' 'artificial-intelligence'
 'endpoint-security' 'dlp' 'data-protection' 'enterprise-security'
 'cyber-security' 'enterprise-solutions' 'network-security' 'deception'
 'behavior-analytics' 'prevention' 'telecommunication' 'deep-learning']"
AU10TIX,                              1/2005,"B2B, B2G",51-200,Revenue Financed,                 $80M,Released,Revenue Financed,80M,2,2,Private Equity,$20M,"['biometrics' 'identity-verification' 'regtech' 'mobile-payments'
 'cyber-security' 'omni-channel' 'authentication'
 'artificial-intelligence' 'machine-learning' 'access-control'
 'point-of-sale' 'multi-factor-authentication' 'forensics' 'aml'
 'security' 'fintech' 'payments' 'airports' 'image-processing' 'big-data'
 'kyc']"
Cato Networks,                              1/2015,B2B,51-200,ROUND C+,                 $512M,Released,C+,512M,6,9,F Round,$200M,"['network-security' 'threat-intelligence' 'byod' 'orchestration'
 'machine-learning' 'cyber-security' 'unicorn' 'enterprise-security' 'vpn'
 'casb' 'cloud-security' 'artificial-intelligence' 'mobile-applications'
 'edge-computing' 'firewall']"
Cronus Cyber Technologies,                              1/2014,B2B,11-50,ROUND A,                 $5.7M,Released,A,5.7M,2,2,A Round,$3.5M,"['cyber-security' 'automation' 'network-security'
 'vulnerability-assessment' 'breach-simulation' 'penetration-tests'
 'vulnerability-management']"
Allot,                              1/1996,"B2B, B2G",500+,Public,                 $26.3M,Released,Public,26.3M,5,10,E Round,$5.5M,"['telecommunication' '5g-networks' 'network-optimization' 'bandwidth'
 'broadband' 'enterprise-networks' 'website-security'
 'software-applications' 'productivity' 'dpi' 'network-management'
 'mobile-security' 'network-security' 'cyber-security']"
Logz.io,                              9/2014,B2B,201-500,ROUND C+,                 $122M,Released,C+,122M,7,10,E Round,$23M,"['data-management' 'big-data-analytics' 'artificial-intelligence'
 'big-data' 'app-development' 'business-intelligence' 'cyber-security'
 'predictive-analytics' 'machine-learning' 'incident-response'
 'monitoring' 'productivity' 'log-management' 'enterprise-solutions'
 'crowdsourcing' 'soc' 'saas' 'security-operations']"
ACID Technologies,                              11/2014,"B2B, B2G",1-10,Bootstrapped,,Released,,,,,,,"['industrial-applications' 'identity-verification' 'threat-detection'
 'big-data-analytics' 'deep-web' 'saas' 'enterprise-security'
 'threat-intelligence' 'cyber-security' 'brand-protection'
 'cyber-intelligence']"
Solvo,                              4/2020,B2B,1-10,Seed,                 $3M,Released,Seed,3M,1,2,Seed,$3M,"['cloud-infrastructure' 'cloud-security' 'cyber-security' 'automation'
 'enterprise-solutions']"
OTORIO,                              12/2017,B2B,51-200,Bootstrapped,,Released,,,,,,,"['digital-twin' 'iot' 'scada' 'network-security' 'control-systems' 'ot'
 'managed-service-provider' 'industrial-technologies'
 'threat-intelligence' 'critical-infastructure' 'transportation'
 'industry-4.0' 'cyber-security']"
White Cyber Knight,                              4/2006,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['enterprise-solutions' 'security-management' 'vulnerability-management'
 'scada' 'compliance' 'risk-management' 'grc' 'grc' 'cyber-security'
 'incident-response' 'big-data-analytics' 'threat-intelligence']"
COPA,                              10/2017,"B2B, B2C, B2B2C",1-10,Bootstrapped,,Released,,,,,,,"['data-protection' 'data-governance' 'collaboration' 'quarantine' 'cloud'
 'data-management' 'security' 'file-security' 'cyber-security'
 'encryption' 'legaltech' 'enterprise-solutions' 'saas'
 'privacy-protection' 'management-solutions' 'software-applications'
 'file-sharing' 'privileged-access-management' 'document-management']"
Orchestra Group,                              7/2018,"B2B, B2G",11-50,ROUND A,                 $7.5M,R&D,A,7.5M,1,2,A Round,$7.5M,"['enterprise-solutions' 'connected-devices' 'iot' 'wireless-control'
 'cyber-security' 'threat-intelligence' 'orchestration' 'monitoring'
 'threat-detection']"
ContextSpace Solutions,                              4/2015,"B2B, B2B2C",1-10,Bootstrapped,,Released,,,,,,,"['identity-verification' 'enterprise-security' 'enterprise-solutions'
 'mobile-security' 'data-protection' 'authentication' 'iam'
 'data-management' 'encryption' 'digital-signature' 'cyber-security'
 'gdpr' 'cloud-security' 'privacy-protection' 'iot']"
SecuPi,                              4/2014,B2B,11-50,Bootstrapped,,Released,,,,,,,"['cyber-security' 'data-protection' 'exfiltration-prevention'
 'privacy-protection' 'compliance' 'behavior-analytics' 'monitoring'
 'application-security' 'anomaly-detection' 'website-security'
 'cloud-security' 'gdpr']"
infinipoint,                              2/2019,B2B,11-50,Seed,                 $11M,Released,Seed,11M,1,7,Seed,$11M,"['endpoint-security' 'enterprise-solutions' 'cyber-security' 'iot'
 'cloud-based' 'enterprise-security' 'network-security']"
Hardenite,                              1/2018,B2B,1-10,Bootstrapped,,Released,,,,,,,"['iot' 'medical-devices' 'telecommunication-equipment' 'smart-home'
 'enterprise-solutions' 'cyber-security' 'hardening' 'connected-devices'
 'network-security' 'software-development' 'vulnerability-assessment'
 'linux' 'risk-management' 'smart-city']"
AlgoSec,                              3/2004,B2B,201-500,Revenue Financed,                 $36M,Released,Revenue Financed,36M,1,1,Undisclosed Round,$36M,"['orchestration' 'risk-management' 'firewall' 'cloud-security'
 'vulnerability-management' 'cyber-security' 'it-management' 'compliance'
 'network-management' 'enterprise-security' 'network-security']"
Axonius,                              6/2017,B2B,51-200,ROUND C+,                 $195M,Released,C+,195M,5,10,D Round,$100M,"['connected-devices' 'byod' 'it-management' 'enterprise-solutions' 'mdm'
 'unicorn' 'iot' 'asset-management' 'cyber-security' 'network-visibility']"
Mine,                              11/2018,"B2C, B2B2C",11-50,ROUND A,                 $12.5M,Released,A,12.5M,2,4,A Round,$9.5M,"['machine-learning' 'natural-language-processing' 'data-protection'
 'privacy-protection' 'artificial-intelligence' 'cyber-security']"
MultiSense,                              4/2015,"B2B, B2C",1-10,Seed,,Released,,,,,,,"['face-recognition' 'anti-fraud' 'cyber-security' 'location-based'
 'multi-factor-authentication' 'mobile-applications' 'payments'
 'voice-recognition' 'biometrics' 'fintech' 'nfc' 'authentication']"
VALIRE SOFTWARE,                              11/2009,"B2B, B2G",1-10,Seed,,Released,Seed,0,1,0,Seed,,"['erp' 'enterprise-logistics' 'reporting-and-analytics' 'fintech'
 'anti-fraud' 'legaltech' 'saas' 'enterprise-software' 'accounting'
 'cyber-security' 'enterprise-solutions' 'business-processes']"
Zero Networks,                              1/2019,B2B,11-50,Seed,                 $4.65M,Released,Seed,4.65M,1,2,Seed,$4.65M,"['multi-factor-authentication' 'cyber-security' 'orchestration'
 'access-control' 'network-security' 'uba' 'identity-verification'
 'enterprise-solutions' 'cloud-security']"
E.S. Embedded Solutions,                              9/2001,"B2B, B2G",11-50,Established,,,,,,,,,"['telecommunication-equipment' 'cyber-security' 'connectivity'
 'encryption' 'messaging-security' 'communications' 'network-security']"
Airo Security,                              1/2017,B2C,11-50,Bootstrapped,,Alpha,,,,,,,"['endpoint-security' 'cyber-security' 'data-protection' 'ios'
 'artificial-intelligence' 'malware' 'security']"
AppDome,                              2/2012,"B2B, B2C",51-200,ROUND A,                 $27.6M,Released,A,27.6M,5,6,Undisclosed Round,,"['sdk' 'mobile-applications' 'application-security' 'mobile-security'
 'cyber-security' 'enterprise-mobility' 'integration' 'app-development'
 'productivity']"
Upstream Security,                              3/2017,B2B,51-200,ROUND C+,                 $103M,Beta,C+,103M,6,15,C Round,$26M,"['fleet-management' 'telematics' 'ips' 'oem' 'anomaly-detection'
 'machine-learning' 'cyber-security' 'connected-vehicles' 'smart-mobility'
 'autonomous-vehicles' 'dpi' 'artificial-intelligence' 'cloud-based'
 'ddos']"
Continuity Software,                              1/2005,"B2B, B2G",51-200,ROUND A,,Released,A,0,1,2,A Round,,"['data-management' 'enterprise-solutions' 'disaster-recovery'
 'data-storage' 'database-high-availability' 'cyber-security'
 'cloud-storage' 'it' 'risk-management' 'cyber-legal-and-regulatory'
 'finance' 'cloud' 'saas' 'cyber-insurance' 'business-continuity']"
Cynerio,                              1/2017,"B2B, B2G",11-50,ROUND B,                 $37M,Released,B,37M,2,8,B Round,$30M,"['digital-healthcare' 'iot' 'clinical-workflow' 'artificial-intelligence'
 'anomaly-detection' 'network-visibility' 'medical-technologies'
 'medical-devices' 'cyber-security' 'machine-learning'
 'behavior-analytics' 'data-protection']"
Forter,                              2/2013,B2B,201-500,ROUND C+,                 $525M,Released,C+,525M,6,15,F Round,$300M,"['cyber-security' 'ecommerce' 'fintech' 'big-data-analytics' 'anti-fraud'
 'identity-verification' 'unicorn' 'machine-learning'
 'artificial-intelligence' 'transactions' 'behavior-analytics' 'payments']"
Ericom Software,                              12/1993,B2B,51-200,Established,,Released,,,,,,,"['bpm' 'cyber-security' 'network-security' 'isolation'
 'enterprise-networking' 'enterprise-solutions' 'software-applications'
 'html5' 'virtualization']"
Comda,                              7/1985,B2B,51-200,Established,,Released,,,,,,,"['authentication' 'iam' 'network-security' 'cyber-security'
 'management-solutions' 'digital-signature' 'access-control' 'encryption'
 'counselling-and-integration' 'biometrics' 'pki']"
Apolicy,                              12/2019,B2B,1-10,Seed,                 $3.5M,Released,Seed,3.5M,1,1,Seed,$3.5M,"['enterprise-solutions' 'kubernetes' 'risk-management' 'cyber-security'
 'orchestration' 'cloud-security']"
Radiflow,                              9/2009,"B2B, B2G",11-50,ROUND B,                 $18M,Released,B,18M,2,2,B Round,$18M,"['scada' 'industry-4.0' 'energytech' 'm2m' 'critical-infastructure'
 'compliance' 'cyber-security' 'firewall' 'ot-cyber' 'ids' 'siem'
 'industrial-technologies' 'ot' 'it-infrastructure' 'iot']"
