,Acculynk (Acquired by First Data),Aeris Secure,Axiado,AllClear ID,Cybereason,Accolade Technology,BeyondTrust,Advanced Technology Group (ATG-NYC),Darktrace,DeepView,CyberMDX,Active Navigation,CNS – Cyber Security Specialists,AVG (Acquired by Avast),A-LIGN,ADF Solutions,Awareness Technologies,Avatier,AvePoint,Avow Security,Balabit (Acquired by One Identity),CYFOR Secure,Allure Security Technology,Encedo,"AvTek Solutions, Inc.",Cybersift,Banyan Security,"Alchemy Security, LLC",Auconet,Beyond Identity,DataGlobal,context information (Acquired by Babcock),Binary Defense,Device Authority,CybeReady,Envelop Risk Analytics,baffle,Allegro Software,Adobe,Egress,Axonius,AlertLogic,Barricade IT Security,Actifile Ltd.,Barracuda,Altitude Networks,CNS,ABD Technology Inc,CyberSmart,ECSC,DigitalXRAID Ltd,AuthenWare,Balbix,Bitdefender,Aligned Technology Solutions,Auth0,Aura,Bitglass,Abira Security,4A Security & Compliance,AaDya Security,ACI Solutions,Biscom,Comtact Ltd.,Data Shepherd,Crypta Labs,CSL DualCom,6Wind,Avanan,Agio,Cypaw,1Kosmos – BlockID,Alt-N Technologies (Acquired by BlackBerry),Absolute,360 Cyber Secure,crossword,Cossack Labs,Cyanre,CyNation,Attivo Networks,Accellion,Cyberfit,ActZero.ai,CYSIAM,e2e-assure ltd,ENTERSEKT,Aware,BinarySec,Axio Global,Beachhead Security,Accurics,Abnormal Security,Allgress,Active Cypher,Accertify,CyberX,Axiad IDS,CybSafe,AUTHEN2CATE,Awake Security,Deep Secure,Beyond Security,Axis Security,Avaria Networks,AlienVault – AT&T,Automox,Codified Security,Akamai Technologies,AIS,Comis,Authoriti Network,Axway,14 Nine,ECS Consulting,Agari,CYREN,Alert Cyber,Agile1,CNS Group,Algosec,Bastille,CyberOwl,Encode UK Limited,Cybertonica Ltd.,Allot Communications,bettercloud,exonar,"CyberArk Software, Inc.",Acalvio Technologies,AfGlobe Communications – ACI Solutions,Bayshore,"Advanced Network Systems, Inc.","BIO-key International, Inc.",AHA Products Group,A10 Networks,CyberQ Group,Axiom Cyber Solutions,Authentic8,Clearswift (Acquired by RUAG),AuthLite,AccessData Group,Cyberseer,Bandura,Elemendar,Corax Cyber Security,eXate,Abacode Cybersecurity & Compliance,"BARR Advisory, P.A.",SCORE
Komodo Consulting,82.18,74.41,91.21,100.0,91.92,100.0,93.63,74.41,85.17,85.85,87.07,88.03,74.41,77.36,74.41,83.15,83.15,86.92,88.03,74.41,91.05,74.41,83.15,89.9,74.41,76.08,76.08,74.41,83.15,85.89,89.9,83.15,74.41,90.13,74.41,74.41,89.9,89.9,89.9,100.0,85.17,89.77,74.41,88.77,89.6,80.26,87.07,74.41,82.18,74.41,74.41,90.75,87.07,83.91,74.41,85.89,88.29,88.82,74.41,74.41,83.91,100.0,89.9,74.41,89.17,87.42,76.08,76.08,92.76,74.41,83.15,85.89,76.08,87.42,74.41,82.18,89.9,90.35,76.08,86.45,88.03,74.41,82.88,74.41,74.41,90.75,89.9,100.0,82.18,87.42,85.87,76.08,85.85,74.48,83.15,85.17,85.89,74.41,100.0,86.45,90.69,88.56,87.81,74.41,83.15,91.91,83.15,89.91,74.41,74.41,100.0,92.78,74.41,74.41,76.08,89.71,74.41,74.41,74.41,74.41,76.08,100.0,85.17,100.0,77.36,84.66,100.0,92.78,83.15,85.17,82.18,74.41,85.89,89.9,83.41,74.41,74.41,76.08,93.15,85.89,83.15,74.41,85.17,83.15,85.85,85.87,74.41,74.41,5.82608695652174
BigID,87.35,83.6,93.43,100.0,84.25,100.0,93.6,83.6,78.79,83.76,85.1,91.27,83.6,75.88,83.6,75.63,75.63,94.52,91.27,83.6,88.9,83.6,75.63,87.54,83.6,77.04,77.04,83.6,75.63,91.55,87.54,75.63,83.6,90.72,83.6,83.6,87.54,87.54,87.54,100.0,78.79,89.53,83.6,90.36,90.72,76.98,85.1,83.6,87.35,83.6,83.6,88.73,85.1,87.32,83.6,91.55,85.18,79.0,83.6,83.6,87.32,100.0,87.54,83.6,83.83,83.06,77.04,77.04,83.09,83.6,75.63,91.55,77.04,83.06,83.6,87.35,87.54,87.22,77.04,77.73,91.27,83.6,87.6,83.6,83.6,88.73,87.54,100.0,87.35,83.06,77.08,77.04,83.76,72.73,75.63,78.79,91.55,83.6,100.0,77.73,83.8,84.49,90.99,83.6,75.63,83.09,75.63,92.03,83.6,83.6,100.0,92.34,83.6,83.6,77.04,81.26,83.6,83.6,83.6,83.6,77.04,100.0,78.79,100.0,75.88,88.13,100.0,92.34,75.63,78.79,87.35,83.6,91.55,87.54,79.12,83.6,83.6,77.04,90.86,91.55,75.63,83.6,78.79,75.63,83.76,77.08,83.6,83.6,7.2142857142857135
enSilo,75.47,65.45,84.93,100.0,82.03,100.0,85.4,65.45,71.39,70.37,73.94,79.48,65.45,79.2,65.45,65.93,65.93,79.76,79.48,65.45,77.94,65.45,65.93,82.69,65.45,72.32,72.32,65.45,65.93,80.78,82.69,65.93,65.45,87.6,65.45,65.45,82.69,82.69,82.69,100.0,71.39,78.15,65.45,83.99,86.37,68.21,73.94,65.45,75.47,65.45,65.45,79.54,73.94,80.85,65.45,80.78,75.63,74.43,65.45,65.45,80.85,100.0,82.69,65.45,86.02,86.44,72.32,72.32,79.8,65.45,65.93,80.78,72.32,86.44,65.45,75.47,82.69,76.15,72.32,73.23,79.48,65.45,78.45,65.45,65.45,79.54,82.69,100.0,75.47,86.44,67.9,72.32,70.37,76.48,65.93,71.39,80.78,65.45,100.0,73.23,78.03,74.16,85.1,65.45,65.93,79.95,65.93,86.8,65.45,65.45,100.0,80.89,65.45,65.45,72.32,77.89,65.45,65.45,65.45,65.45,72.32,100.0,71.39,100.0,79.2,73.2,100.0,80.89,65.93,71.39,75.47,65.45,80.78,82.69,81.14,65.45,65.45,72.32,81.44,80.78,65.93,65.45,71.39,65.93,70.37,67.9,65.45,65.45,7.750000000000003
CyberNite,79.79,61.63,77.41,100.0,78.88,100.0,77.45,61.63,81.71,78.99,80.53,76.15,61.63,76.12,61.63,79.93,79.93,71.18,76.15,61.63,81.76,61.63,79.93,80.17,61.63,82.88,82.88,61.63,79.93,69.86,80.17,79.93,61.63,75.45,61.63,61.63,80.17,80.17,80.17,100.0,81.71,80.0,61.63,73.17,76.5,79.54,80.53,61.63,79.79,61.63,61.63,82.1,80.53,77.11,61.63,69.86,78.27,77.33,61.63,61.63,77.11,100.0,80.17,61.63,73.05,71.82,82.88,82.88,75.78,61.63,79.93,69.86,82.88,71.82,61.63,79.79,80.17,78.01,82.88,78.72,76.15,61.63,75.32,61.63,61.63,82.1,80.17,100.0,79.79,71.82,78.26,82.88,78.99,74.89,79.93,81.71,69.86,61.63,100.0,78.72,80.49,79.83,77.02,61.63,79.93,77.34,79.93,74.85,61.63,61.63,100.0,78.73,61.63,61.63,82.88,79.33,61.63,61.63,61.63,61.63,82.88,100.0,81.71,100.0,76.12,77.03,100.0,78.73,79.93,81.71,79.79,61.63,69.86,80.17,75.52,61.63,61.63,82.88,77.73,69.86,79.93,61.63,81.71,79.93,78.99,78.26,61.63,61.63,3.0869565217391313
Cympire,78.6,62.66,86.36,100.0,84.39,100.0,87.39,62.66,80.4,75.27,79.86,76.78,62.66,79.43,62.66,74.2,74.2,81.24,76.78,62.66,85.05,62.66,74.2,80.39,62.66,79.99,79.99,62.66,74.2,85.04,80.39,74.2,62.66,87.7,62.66,62.66,80.39,80.39,80.39,100.0,80.4,83.63,62.66,77.41,88.0,74.23,79.86,62.66,78.6,62.66,62.66,87.23,79.86,79.68,62.66,85.04,77.37,78.66,62.66,62.66,79.68,100.0,80.39,62.66,84.19,77.9,79.99,79.99,81.11,62.66,74.2,85.04,79.99,77.9,62.66,78.6,80.39,78.46,79.99,76.97,76.78,62.66,73.61,62.66,62.66,87.23,80.39,100.0,78.6,77.9,76.15,79.99,75.27,70.27,74.2,80.4,85.04,62.66,100.0,76.97,83.5,81.44,85.58,62.66,74.2,80.59,74.2,89.55,62.66,62.66,100.0,83.92,62.66,62.66,79.99,83.42,62.66,62.66,62.66,62.66,79.99,100.0,80.4,100.0,79.43,74.8,100.0,83.92,74.2,80.4,78.6,62.66,85.04,80.39,82.66,62.66,62.66,79.99,85.03,85.04,74.2,62.66,80.4,74.2,75.27,76.15,62.66,62.66,5.695652173913044
InnoSec,87.17,78.52,91.5,100.0,85.08,100.0,92.09,78.52,79.58,80.35,84.13,86.6,78.52,81.77,78.52,73.39,73.39,92.09,86.6,78.52,87.35,78.52,73.39,83.76,78.52,81.05,81.05,78.52,73.39,91.22,83.76,73.39,78.52,92.25,78.52,78.52,83.76,83.76,83.76,100.0,79.58,87.2,78.52,87.46,89.2,73.93,84.13,78.52,87.17,78.52,78.52,89.13,84.13,88.64,78.52,91.22,82.96,77.95,78.52,78.52,88.64,100.0,83.76,78.52,85.82,82.2,81.05,81.05,81.3,78.52,73.39,91.22,81.05,82.2,78.52,87.17,83.76,83.5,81.05,77.1,86.6,78.52,85.41,78.52,78.52,89.13,83.76,100.0,87.17,82.2,74.58,81.05,80.35,74.51,73.39,79.58,91.22,78.52,100.0,77.1,83.56,80.34,91.46,78.52,73.39,81.55,73.39,92.34,78.52,78.52,100.0,89.54,78.52,78.52,81.05,82.68,78.52,78.52,78.52,78.52,81.05,100.0,79.58,100.0,81.77,83.64,100.0,89.54,73.39,79.58,87.17,78.52,91.22,83.76,83.42,78.52,78.52,81.05,88.06,91.22,73.39,78.52,79.58,73.39,80.35,74.58,78.52,78.52,5.678571428571429
SNDBOX,82.24,71.25,92.1,100.0,90.22,100.0,92.89,71.25,83.43,81.83,84.79,85.43,71.25,80.27,71.25,79.1,79.1,87.39,85.43,71.25,89.84,71.25,79.1,88.1,71.25,78.87,78.87,71.25,79.1,88.83,88.1,79.1,71.25,92.26,71.25,71.25,88.1,88.1,88.1,100.0,83.43,87.7,71.25,86.63,90.45,80.2,84.79,71.25,82.24,71.25,71.25,90.75,84.79,84.26,71.25,88.83,84.59,85.83,71.25,71.25,84.26,100.0,88.1,71.25,90.59,86.34,78.87,78.87,89.76,71.25,79.1,88.83,78.87,86.34,71.25,82.24,88.1,86.44,78.87,82.85,85.43,71.25,80.98,71.25,71.25,90.75,88.1,100.0,82.24,86.34,82.5,78.87,81.83,74.52,79.1,83.43,88.83,71.25,100.0,82.85,88.71,85.06,89.83,71.25,79.1,88.4,79.1,92.52,71.25,71.25,100.0,90.91,71.25,71.25,78.87,88.58,71.25,71.25,71.25,71.25,78.87,100.0,83.43,100.0,80.27,82.83,100.0,90.91,79.1,83.43,82.24,71.25,88.83,88.1,86.23,71.25,71.25,78.87,91.21,88.83,79.1,71.25,83.43,79.1,81.83,82.5,71.25,71.25,5.0
Kameleon Security,83.47,69.8,89.79,100.0,86.67,100.0,90.26,69.8,79.48,76.61,81.37,84.39,69.8,83.16,69.8,72.5,72.5,84.53,84.39,69.8,84.11,69.8,72.5,87.54,69.8,82.18,82.18,69.8,72.5,85.3,87.54,72.5,69.8,91.55,69.8,69.8,87.54,87.54,87.54,100.0,79.48,85.38,69.8,85.64,93.2,75.25,81.37,69.8,83.47,69.8,69.8,86.72,81.37,85.4,69.8,85.3,79.5,78.03,69.8,69.8,85.4,100.0,87.54,69.8,89.58,85.84,82.18,82.18,82.96,69.8,72.5,85.3,82.18,85.84,69.8,83.47,87.54,81.66,82.18,76.51,84.39,69.8,80.29,69.8,69.8,86.72,87.54,100.0,83.47,85.84,74.43,82.18,76.61,74.9,72.5,79.48,85.3,69.8,100.0,76.51,85.04,80.61,87.57,69.8,72.5,82.83,72.5,91.47,69.8,69.8,100.0,86.32,69.8,69.8,82.18,83.3,69.8,69.8,69.8,69.8,82.18,100.0,79.48,100.0,83.16,79.39,100.0,86.32,72.5,79.48,83.47,69.8,85.3,87.54,85.52,69.8,69.8,82.18,87.92,85.3,72.5,69.8,79.48,72.5,76.61,74.43,69.8,69.8,3.071428571428572
Hysolate,86.64,74.89,93.09,100.0,87.14,100.0,93.59,74.89,80.75,79.14,83.9,85.6,74.89,84.93,74.89,73.51,73.51,91.5,85.6,74.89,88.15,74.89,73.51,85.2,74.89,83.24,83.24,74.89,73.51,92.81,85.2,73.51,74.89,94.87,74.89,74.89,85.2,85.2,85.2,100.0,80.75,87.94,74.89,87.3,92.92,75.9,83.9,74.89,86.64,74.89,74.89,90.54,83.9,88.92,74.89,92.81,82.36,79.57,74.89,74.89,88.92,100.0,85.2,74.89,89.58,84.67,83.24,83.24,83.23,74.89,73.51,92.81,83.24,84.67,74.89,86.64,85.2,82.97,83.24,78.01,85.6,74.89,84.18,74.89,74.89,90.54,85.2,100.0,86.64,84.67,75.52,83.24,79.14,76.45,73.51,80.75,92.81,74.89,100.0,78.01,85.13,81.9,93.3,74.89,73.51,82.95,73.51,95.94,74.89,74.89,100.0,89.67,74.89,74.89,83.24,84.99,74.89,74.89,74.89,74.89,83.24,100.0,80.75,100.0,84.93,82.62,100.0,89.67,73.51,80.75,86.64,74.89,92.81,85.2,87.33,74.89,74.89,83.24,89.49,92.81,73.51,74.89,80.75,73.51,79.14,75.52,74.89,74.89,7.500000000000001
Aurora Labs,74.83,61.06,84.3,100.0,83.18,100.0,85.17,61.06,77.79,73.46,77.4,76.08,61.06,74.68,61.06,72.46,72.46,78.22,76.08,61.06,82.3,61.06,72.46,80.56,61.06,74.96,74.96,61.06,72.46,81.38,80.56,72.46,61.06,84.99,61.06,61.06,80.56,80.56,80.56,100.0,77.79,80.93,61.06,76.55,85.85,69.73,77.4,61.06,74.83,61.06,61.06,84.04,77.4,75.93,61.06,81.38,75.46,76.47,61.06,61.06,75.93,100.0,80.56,61.06,82.08,77.72,74.96,74.96,80.43,61.06,72.46,81.38,74.96,77.72,61.06,74.83,80.56,77.89,74.96,75.1,76.08,61.06,70.55,61.06,61.06,84.04,80.56,100.0,74.83,77.72,74.08,74.96,73.46,66.12,72.46,77.79,81.38,61.06,100.0,75.1,82.4,79.23,81.46,61.06,72.46,80.31,72.46,85.12,61.06,61.06,100.0,82.34,61.06,61.06,74.96,80.53,61.06,61.06,61.06,61.06,74.96,100.0,77.79,100.0,74.68,71.52,100.0,82.34,72.46,77.79,74.83,61.06,81.38,80.56,77.82,61.06,61.06,74.96,83.26,81.38,72.46,61.06,77.79,72.46,73.46,74.08,61.06,61.06,5.214285714285714
Nyotron,77.93,71.79,87.69,100.0,88.1,100.0,89.97,71.79,79.94,82.42,82.33,85.4,71.79,75.87,71.79,79.66,79.66,83.1,85.4,71.79,86.95,71.79,79.66,87.57,71.79,71.1,71.1,71.79,79.66,81.68,87.57,79.66,71.79,86.72,71.79,71.79,87.57,87.57,87.57,100.0,79.94,85.51,71.79,88.12,85.54,76.62,82.33,71.79,77.93,71.79,71.79,85.59,82.33,81.74,71.79,81.68,86.3,86.06,71.79,71.79,81.74,100.0,87.57,71.79,85.36,88.34,71.1,71.1,89.56,71.79,79.66,81.68,71.1,88.34,71.79,77.93,87.57,86.62,71.1,84.95,85.4,71.79,83.6,71.79,71.79,85.59,87.57,100.0,77.93,88.34,81.29,71.1,82.42,79.06,79.66,79.94,81.68,71.79,100.0,84.95,85.38,85.6,86.72,71.79,79.66,89.68,79.66,86.45,71.79,71.79,100.0,88.74,71.79,71.79,71.1,85.3,71.79,71.79,71.79,71.79,71.1,100.0,79.94,100.0,75.87,81.24,100.0,88.74,79.66,79.94,77.93,71.79,81.68,87.57,80.0,71.79,71.79,71.1,88.26,81.68,79.66,71.79,79.94,79.66,82.42,81.29,71.79,71.79,5.9642857142857135
High Sec Labs,69.23,51.88,78.2,100.0,73.72,100.0,76.41,51.88,66.09,60.1,65.76,68.76,51.88,76.13,51.88,58.32,58.32,69.98,68.76,51.88,70.42,51.88,58.32,75.72,51.88,73.28,73.28,51.88,58.32,74.7,75.72,58.32,51.88,81.31,51.88,51.88,75.72,75.72,75.72,100.0,66.09,70.18,51.88,71.54,82.57,68.22,65.76,51.88,69.23,51.88,51.88,73.6,65.76,72.51,51.88,74.7,63.83,66.15,51.88,51.88,72.51,100.0,75.72,51.88,81.32,76.53,73.28,73.28,70.54,51.88,58.32,74.7,73.28,76.53,51.88,69.23,75.72,65.25,73.28,63.41,68.76,51.88,66.31,51.88,51.88,73.6,75.72,100.0,69.23,76.53,61.64,73.28,60.1,68.8,58.32,66.09,74.7,51.88,100.0,63.41,71.2,66.72,77.95,51.88,58.32,69.27,58.32,82.56,51.88,51.88,100.0,71.07,51.88,51.88,73.28,71.75,51.88,51.88,51.88,51.88,73.28,100.0,66.09,100.0,76.13,65.5,100.0,71.07,58.32,66.09,69.23,51.88,74.7,75.72,79.25,51.88,51.88,73.28,73.53,74.7,58.32,51.88,66.09,58.32,60.1,61.64,51.88,51.88,5.82608695652174
AI-PREDATOR,83.13,78.44,87.85,100.0,87.71,100.0,91.22,78.44,82.71,85.83,86.47,86.85,78.44,75.42,78.44,81.11,81.11,87.83,86.85,78.44,89.16,78.44,81.11,84.27,78.44,74.28,74.28,78.44,81.11,84.56,84.27,81.11,78.44,86.7,78.44,78.44,84.27,84.27,84.27,100.0,82.71,88.48,78.44,87.45,84.27,78.26,86.47,78.44,83.13,78.44,78.44,88.58,86.47,84.59,78.44,84.56,88.11,86.16,78.44,78.44,84.59,100.0,84.27,78.44,84.13,82.25,74.28,74.28,88.36,78.44,81.11,84.56,74.28,82.25,78.44,83.13,84.27,88.43,74.28,84.26,86.85,78.44,84.92,78.44,78.44,88.58,84.27,100.0,83.13,82.25,83.32,74.28,85.83,73.65,81.11,82.71,84.56,78.44,100.0,84.26,86.48,85.67,86.57,78.44,81.11,87.7,81.11,87.21,78.44,78.44,100.0,90.97,78.44,78.44,74.28,86.78,78.44,78.44,78.44,78.44,74.28,100.0,82.71,100.0,75.42,85.88,100.0,90.97,81.11,82.71,83.13,78.44,84.56,84.27,80.69,78.44,78.44,74.28,90.27,84.56,81.11,78.44,82.71,81.11,85.83,83.32,78.44,78.44,2.6521739130434785
Enc.AI,85.08,74.67,92.17,100.0,88.14,100.0,91.84,74.67,81.52,82.15,84.41,89.57,74.67,80.41,74.67,77.85,77.85,86.83,89.57,74.67,87.59,74.67,77.85,92.4,74.67,80.79,80.79,74.67,77.85,85.58,92.4,77.85,74.67,90.97,74.67,74.67,92.4,92.4,92.4,100.0,81.52,87.85,74.67,89.54,92.64,82.57,84.41,74.67,85.08,74.67,74.67,88.19,84.41,85.96,74.67,85.58,84.19,82.92,74.67,74.67,85.96,100.0,92.4,74.67,89.84,88.46,80.79,80.79,87.52,74.67,77.85,85.58,80.79,88.46,74.67,85.08,92.4,86.87,80.79,80.66,89.57,74.67,84.49,74.67,74.67,88.19,92.4,100.0,85.08,88.46,80.41,80.79,82.15,77.34,77.85,81.52,85.58,74.67,100.0,80.66,87.27,84.76,88.72,74.67,77.85,86.79,77.85,91.02,74.67,74.67,100.0,90.17,74.67,74.67,80.79,85.36,74.67,74.67,74.67,74.67,80.79,100.0,81.52,100.0,80.41,86.02,100.0,90.17,77.85,81.52,85.08,74.67,85.58,92.4,84.94,74.67,74.67,80.79,90.93,85.58,77.85,74.67,81.52,77.85,82.15,80.41,74.67,74.67,2.565217391304348
L1ght,78.49,70.29,89.25,100.0,83.0,100.0,88.33,70.29,77.8,78.57,80.25,82.15,70.29,72.93,70.29,75.01,75.01,86.34,82.15,70.29,86.83,70.29,75.01,83.16,70.29,73.32,73.32,70.29,75.01,87.83,83.16,75.01,70.29,87.17,70.29,70.29,83.16,83.16,83.16,100.0,77.8,83.33,70.29,82.04,84.53,73.68,80.25,70.29,78.49,70.29,70.29,86.6,80.25,79.18,70.29,87.83,80.29,78.72,70.29,70.29,79.18,100.0,83.16,70.29,81.13,79.64,73.32,73.32,82.23,70.29,75.01,87.83,73.32,79.64,70.29,78.49,83.16,82.22,73.32,77.35,82.15,70.29,77.81,70.29,70.29,86.6,83.16,100.0,78.49,79.64,76.59,73.32,78.57,69.4,75.01,77.8,87.83,70.29,100.0,77.35,82.35,81.13,87.14,70.29,75.01,82.08,75.01,87.23,70.29,70.29,100.0,87.53,70.29,70.29,73.32,80.6,70.29,70.29,70.29,70.29,73.32,100.0,77.8,100.0,72.93,78.84,100.0,87.53,75.01,77.8,78.49,70.29,87.83,83.16,76.68,70.29,70.29,73.32,85.34,87.83,75.01,70.29,77.8,75.01,78.57,76.59,70.29,70.29,3.571428571428572
Wise-Mon,87.15,75.57,91.02,100.0,85.99,100.0,91.25,75.57,82.61,82.67,85.51,87.11,75.57,81.17,75.57,78.12,78.12,88.53,87.11,75.57,88.68,75.57,78.12,87.26,75.57,83.52,83.52,75.57,78.12,87.63,87.26,78.12,75.57,90.03,75.57,75.57,87.26,87.26,87.26,100.0,82.61,88.65,75.57,86.22,90.5,81.4,85.51,75.57,87.15,75.57,75.57,89.73,85.51,86.87,75.57,87.63,83.93,81.28,75.57,75.57,86.87,100.0,87.26,75.57,85.94,82.41,83.52,83.52,83.7,75.57,78.12,87.63,83.52,82.41,75.57,87.15,87.26,85.19,83.52,79.86,87.11,75.57,84.37,75.57,75.57,89.73,87.26,100.0,87.15,82.41,79.68,83.52,82.67,76.01,78.12,82.61,87.63,75.57,100.0,79.86,85.79,84.7,89.6,75.57,78.12,83.42,78.12,91.36,75.57,75.57,100.0,89.62,75.57,75.57,83.52,84.74,75.57,75.57,75.57,75.57,83.52,100.0,82.61,100.0,81.17,85.92,100.0,89.62,78.12,82.61,87.15,75.57,87.63,87.26,84.2,75.57,75.57,83.52,89.5,87.63,78.12,75.57,82.61,78.12,82.67,79.68,75.57,75.57,5.82608695652174
At-Bay,82.67,76.73,84.12,100.0,81.89,100.0,86.53,76.73,80.93,83.33,84.6,82.56,76.73,71.23,76.73,78.46,78.46,86.04,82.56,76.73,86.76,76.73,78.46,78.22,76.73,74.95,74.95,76.73,78.46,82.91,78.22,78.46,76.73,82.0,76.73,76.73,78.22,78.22,78.22,100.0,80.93,85.61,76.73,80.47,79.32,74.21,84.6,76.73,82.67,76.73,76.73,86.74,84.6,81.14,76.73,82.91,83.46,79.6,76.73,76.73,81.14,100.0,78.22,76.73,76.43,72.26,74.95,74.95,80.54,76.73,78.46,82.91,74.95,72.26,76.73,82.67,78.22,84.23,74.95,78.66,82.56,76.73,79.9,76.73,76.73,86.74,78.22,100.0,82.67,72.26,79.36,74.95,83.33,65.78,78.46,80.93,82.91,76.73,100.0,78.66,82.64,81.58,82.36,76.73,78.46,80.49,78.46,82.38,76.73,76.73,100.0,87.41,76.73,76.73,74.95,81.6,76.73,76.73,76.73,76.73,74.95,100.0,80.93,100.0,71.23,82.77,100.0,87.41,78.46,80.93,82.67,76.73,82.91,78.22,74.79,76.73,76.73,74.95,85.5,82.91,78.46,76.73,80.93,78.46,83.33,79.36,76.73,76.73,7.2142857142857135
Cyber 2.0,83.75,71.3,89.53,100.0,85.28,100.0,89.76,71.3,78.1,75.59,80.79,84.05,71.3,82.06,71.3,70.33,70.33,85.86,84.05,71.3,83.23,71.3,70.33,85.62,71.3,81.39,81.39,71.3,70.33,86.37,85.62,70.33,71.3,91.49,71.3,71.3,85.62,85.62,85.62,100.0,78.1,84.41,71.3,85.08,91.81,73.86,80.79,71.3,83.75,71.3,71.3,86.22,80.79,85.42,71.3,86.37,78.33,76.2,71.3,71.3,85.42,100.0,85.62,71.3,89.03,83.79,81.39,81.39,81.34,71.3,70.33,86.37,81.39,83.79,71.3,83.75,85.62,80.7,81.39,74.16,84.05,71.3,79.73,71.3,71.3,86.22,85.62,100.0,83.75,83.79,72.77,81.39,75.59,71.97,70.33,78.1,86.37,71.3,100.0,74.16,83.77,78.05,87.16,71.3,70.33,80.8,70.33,91.18,71.3,71.3,100.0,85.97,71.3,71.3,81.39,82.11,71.3,71.3,71.3,71.3,81.39,100.0,78.1,100.0,82.06,79.51,100.0,85.97,70.33,78.1,83.75,71.3,86.37,85.62,84.98,71.3,71.3,81.39,87.18,86.37,70.33,71.3,78.1,70.33,75.59,72.77,71.3,71.3,5.9642857142857135
Iris Shield,81.5,70.89,92.23,100.0,90.25,100.0,92.99,70.89,80.71,79.42,82.63,86.22,70.89,82.35,70.89,75.91,75.91,86.53,86.22,70.89,87.34,70.89,75.91,89.8,70.89,77.92,77.92,70.89,75.91,87.72,89.8,75.91,70.89,93.53,70.89,70.89,89.8,89.8,89.8,100.0,80.71,86.44,70.89,89.19,92.46,79.71,82.63,70.89,81.5,70.89,70.89,88.5,82.63,85.41,70.89,87.72,83.61,84.95,70.89,70.89,85.41,100.0,89.8,70.89,93.48,90.74,77.92,77.92,90.03,70.89,75.91,87.72,77.92,90.74,70.89,81.5,89.8,85.24,77.92,81.67,86.22,70.89,82.62,70.89,70.89,88.5,89.8,100.0,81.5,90.74,79.85,77.92,79.42,78.19,75.91,80.71,87.72,70.89,100.0,81.67,87.39,83.4,90.51,70.89,75.91,88.53,75.91,93.75,70.89,70.89,100.0,89.68,70.89,70.89,77.92,87.75,70.89,70.89,70.89,70.89,77.92,100.0,80.71,100.0,82.35,82.37,100.0,89.68,75.91,80.71,81.5,70.89,87.72,89.8,88.27,70.89,70.89,77.92,90.9,87.72,75.91,70.89,80.71,75.91,79.42,79.85,70.89,70.89,4.391304347826088
Syber.ai,64.81,51.19,75.18,100.0,69.22,100.0,73.37,51.19,61.06,58.12,61.76,68.75,51.19,68.07,51.19,55.89,55.89,66.12,68.75,51.19,66.34,51.19,55.89,76.3,51.19,66.37,66.37,51.19,55.89,69.08,76.3,55.89,51.19,75.71,51.19,51.19,76.3,76.3,76.3,100.0,61.06,68.14,51.19,70.29,82.01,66.73,61.76,51.19,64.81,51.19,51.19,68.03,61.76,67.1,51.19,69.08,60.99,62.65,51.19,51.19,67.1,100.0,76.3,51.19,76.47,75.03,66.37,66.37,68.14,51.19,55.89,69.08,66.37,75.03,51.19,64.81,76.3,63.98,66.37,59.81,68.75,51.19,63.83,51.19,51.19,68.03,76.3,100.0,64.81,75.03,59.19,66.37,58.12,64.72,55.89,61.06,69.08,51.19,100.0,59.81,67.45,67.03,72.51,51.19,55.89,66.88,55.89,78.31,51.19,51.19,100.0,68.35,51.19,51.19,66.37,66.14,51.19,51.19,51.19,51.19,66.37,100.0,61.06,100.0,68.07,64.33,100.0,68.35,55.89,61.06,64.81,51.19,69.08,76.3,71.93,51.19,51.19,66.37,72.01,69.08,55.89,51.19,61.06,55.89,58.12,59.19,51.19,51.19,5.0
Findings,83.99,74.89,92.3,100.0,87.04,100.0,93.13,74.89,79.49,79.28,82.94,86.34,74.89,80.58,74.89,73.71,73.71,90.0,86.34,74.89,87.19,74.89,73.71,86.5,74.89,78.74,78.74,74.89,73.71,90.43,86.5,73.71,74.89,92.97,74.89,74.89,86.5,86.5,86.5,100.0,79.49,87.41,74.89,87.75,92.53,76.16,82.94,74.89,83.99,74.89,74.89,88.75,82.94,86.18,74.89,90.43,82.31,80.39,74.89,74.89,86.18,100.0,86.5,74.89,89.36,85.4,78.74,78.74,85.08,74.89,73.71,90.43,78.74,85.4,74.89,83.99,86.5,84.1,78.74,77.95,86.34,74.89,82.75,74.89,74.89,88.75,86.5,100.0,83.99,85.4,76.61,78.74,79.28,73.62,73.71,79.49,90.43,74.89,100.0,77.95,85.21,82.58,90.57,74.89,73.71,84.19,73.71,94.1,74.89,74.89,100.0,89.73,74.89,74.89,78.74,84.43,74.89,74.89,74.89,74.89,78.74,100.0,79.49,100.0,80.58,82.76,100.0,89.73,73.71,79.49,83.99,74.89,90.43,86.5,84.92,74.89,74.89,78.74,90.29,90.43,73.71,74.89,79.49,73.71,79.28,76.61,74.89,74.89,5.571428571428572
